year;dr_scen;cluster;parameter;value;unit
2042;95;tcs_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2043;95;tcs_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2044;95;tcs_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2045;95;tcs_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2020;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2021;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2022;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2023;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2024;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2025;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2026;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2027;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2028;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2029;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2030;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2031;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2032;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2033;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2034;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2035;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2036;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2037;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2038;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2039;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2040;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2041;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2042;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2043;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2044;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2045;5;tcs+hoho_cluster_shift_only;overall_tariff;185.17;EUR/MWh
2020;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2021;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2022;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2023;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2024;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2025;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2026;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2027;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2028;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2029;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2030;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2031;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2032;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2033;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2034;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2035;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2036;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2037;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2038;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2039;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2040;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2041;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2042;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2043;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2044;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2045;50;tcs+hoho_cluster_shift_only;overall_tariff;183.04;EUR/MWh
2020;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2021;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2022;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2023;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2024;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2025;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2026;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2027;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2028;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2029;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2030;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2031;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2032;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2033;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2034;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2035;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2036;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2037;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2038;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2039;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2040;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2041;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2042;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2043;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2044;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
2045;95;tcs+hoho_cluster_shift_only;overall_tariff;181.59;EUR/MWh
